     timestamp        |   TestCR   |         NW arch         | epoch |   initLR   | LRthres | LRtype |momType|momLower|momUpper|dropType|earlySt|maxFail | weightInit
28-02-18_13-20-18-843 |     0.4366 |   500   500  1000     7 |    20 |      0.010 |      10 |      1 |     1 |     10 |     15 |      0 |     0 |     10 |      3
28-02-18_13-47-13-609 |     0.4255 |   500   500  1000     7 |    20 |      0.007 |      10 |      1 |     1 |     10 |     15 |      0 |     0 |     10 |      3
01-03-18_12-00-06-487 |     0.3809 |   500   500  1000     7 |    50 |      0.001 |      10 |      1 |     1 |     10 |     45 |      0 |     0 |     10 |      3
01-03-18_11-40-22-227 |     0.4196 |   500   500   500  1000     7 |    50 |      0.001 |      25 |      1 |     1 |     25 |     50 |      0 |     0 |     10 |      3
01-03-18_12-01-30-802 |     0.4171 |   500   500  1000     7 |    50 |      0.005 |      10 |      1 |     1 |     10 |     50 |      0 |     0 |     10 |      3
01-03-18_12-17-55-841 |     0.3695 |   500   500   500  1000     7 |    50 |      0.001 |      10 |      1 |     1 |     10 |     50 |      0 |     0 |     10 |      3
01-03-18_12-27-57-588 |     0.4062 |   500   500   500  1000     7 |    50 |      0.010 |       5 |      1 |     1 |      5 |     50 |      0 |     0 |     10 |      3
01-03-18_15-28-16-031 |     0.3778 |   500   500  1000     7 |    50 |      0.001 |       5 |      1 |     1 |      5 |     50 |      0 |     0 |     10 |      8
01-03-18_15-36-47-672 |     0.3580 |   500   500  1000     7 |    50 |      0.001 |       5 |      1 |     1 |      5 |     50 |      0 |     0 |     10 |      3
01-03-18_15-51-18-914 |     0.3996 |   500   500  1000     7 |    50 |      0.001 |      10 |      1 |     1 |     10 |     50 |      0 |     0 |     10 |      8
01-03-18_15-59-35-271 |     0.4135 |   500   500  1000     7 |    50 |      0.002 |      10 |      1 |     1 |     10 |     50 |      0 |     0 |     10 |      8
01-03-18_16-08-33-430 |     0.4107 |   500   500  1000     7 |    50 |      0.003 |       5 |      1 |     1 |      5 |     50 |      0 |     0 |     10 |      8
01-03-18_16-29-05-159 |     0.4107 |   500   500  1000     7 |    50 |      0.003 |       7 |      1 |     1 |      7 |     50 |      0 |     0 |     10 |      8
01-03-18_17-02-08-225 |     0.3853 |   500   500  1000     7 |    50 |      0.005 |       2 |      1 |     1 |      2 |     50 |      0 |     0 |     10 |      8
01-03-18_17-18-57-472 |     0.4299 |   500   500  1000     7 |    50 |      0.002 |      10 |      1 |     1 |     10 |     20 |      0 |     0 |     10 |      8
01-03-18_17-30-52-503 |     0.4252 |   500   500  1000     7 |    50 |      0.002 |      10 |      1 |     1 |     10 |     25 |      0 |     0 |     10 |      8
01-03-18_17-38-37-503 |     0.4138 |   500   500  1000     7 |    50 |      0.002 |       5 |      1 |     1 |      5 |     25 |      0 |     0 |     10 |      8
03-03-18_15-49-44-520 |     0.3898 |   500   500  1000     7 |
